,index,name,cre_id,Lng,Lat,place_id,gas_price,gas type,Rating,User Ratings,Google_Name,Address,Types
9598,25418,"GASOLINERA REFORMA, SA DE CV",PL/10672/EXP/ES/2015,-109.9488,22.91197,12795,19.59,regular,0,0,Gasolinera Pemex,"Padre Nicolás Tamaral 1112, Las Palmas","gas_station, point_of_interest, establishment"
9599,25421,MARTHA ERIKA CHACON MENDEZ,PL/10673/EXP/ES/2015,-94.48738,18.1391,12796,17.52,regular,4.3,6,PEMEX Gasolinera,"Av Universidad Veracruzana KM8.5, Santa Cecilia, Coatzacoalcos","gas_station, point_of_interest, establishment"
9600,25423,RUBEN BARRERA ORDOÑEZ,PL/10674/EXP/ES/2015,-96.65836,19.35624,12797,19.5,regular,4.4,7,PeMex,cerca de Emiliano Zapata,"gas_station, point_of_interest, establishment"
9601,25426,SERVICIO SAN FRANCISCO ASSISI SA DE CV,PL/10675/EXP/ES/2015,-97.35987,19.82551,12798,17.59,regular,0,0,Gasolinera Pemex,"Av Miguel Hidalgo N 2, Centro, Teziutlán","gas_station, point_of_interest, establishment"
9602,25429,BOHON AUTO SERVICIO SA de CV,PL/10676/EXP/ES/2015,-114.7786,32.468070000000004,12799,13.99,regular,0,0,Auto Servicio El Dorado Est 1977,"83449, Av Libertad 724, Comercial, San Luis Río Colorado","gas_station, point_of_interest, establishment"
9603,25431,J JESUS VAZQUEZ,PL/10677/EXP/ES/2015,-100.3435,21.1344,12800,17.05,regular,4,32,Gas Fortuna,Doctor Mora,"gas_station, point_of_interest, establishment"
9604,25434,PABLO MORALES UGALDE,PL/10678/EXP/ES/2015,-97.55215,18.83491,12802,18.79,diesel,3.3,7,Pemex,"San Miguel Xaltepec, PUE 714 702-c, San Miguel Xaltepec","gas_station, point_of_interest, establishment"
9605,25435,"DISTRIBUIDORES DE COMBUSTIBLE DE PALMAR DE BRAVO, S.A. DE C.V.",PL/10679/EXP/ES/2015,-97.69188,18.91526,12803,18.79,diesel,0,0,Pemex,Tecamachalco - Quecholac,"gas_station, point_of_interest, establishment"
9606,25436,"DISTRIBUIDORES DE COMBUSTIBLE DE PALMAR DE BRAVO, S.A. DE C.V.",PL/10680/EXP/ES/2015,-97.37624,18.43544,12804,18.79,diesel,0,0,Ola Mexicana de Gas Combustible,"Carretera Nacional Tehuacán Puebla SN, Revolución, Tehuacán","gas_station, point_of_interest, establishment"
9607,25437,PABLO MORALES UGALDE,PL/10681/EXP/ES/2015,-97.72171,18.881520000000002,12805,18.79,diesel,3.5,62,Pemex,"Av 9 Pte # 502, San Nicolás, Tecamachalco","gas_station, point_of_interest, establishment"
